temp,sg,comment,id,type,time,__acc_reading_doc_id,__acc_reading_data_id,timepoint,ph,pressure
16.3,NaN,,manual,manual,1621979601709,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,IB9h5HdUVaDJw3KzIyhbdj91q09j9v,2021-05-25T21:53:21.709Z,NaN
16.1,,,manual,manual,1621943580000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,klxuAvKo7BkN3CVCVcWYRXwLzy9Iie,2021-05-25T11:53:00.000Z,
16.9,,,manual,manual,1621930200000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,M5e8z9Kywug0gun8bjKGFPZtfrET4m,2021-05-25T08:10:00.000Z,
17.1,,,manual,manual,1621892728726,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,ugSoYOb0SUiaCn4bFw7Nbhnsz7H432,2021-05-24T21:45:28.726Z,
16.3,,,manual,manual,1621863474975,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,aS04AgICVRdSTnkgWxrbMtFOD9YxZt,2021-05-24T13:37:54.975Z,
16.6,,,manual,manual,1621839120000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,vH68bIRx5OaJ3LjwVbAbYVKfVo0Rb5,2021-05-24T06:52:00.000Z,
17.1,,,manual,manual,1621805975019,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,VQSylk2ImWwtUuzhd04GHMZeOKrxlH,2021-05-23T21:39:35.019Z,
16.3,,,manual,manual,1621787921156,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,ULWBpMiNbdquWYNDitMqBtbYMi8fcR,2021-05-23T16:38:41.156Z,
16,,,manual,manual,1621755011042,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,GzdQ9bsdyEh7jbGzBhT5f3LNGWGmnB,2021-05-23T07:30:11.042Z,
16.4,,,manual,manual,1621717457030,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,AI7TMTmPsN9kpYUZAb5BLcsDIYWy4f,2021-05-22T21:04:17.030Z,0.01
16.1,,,manual,manual,1621686270455,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,SN18KgA2idjCCAp1sFj4LHaBRTjaID,2021-05-22T12:24:30.455Z,
16.9,,,manual,manual,1621674172133,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,FedVddwOSHdm2xJWWBWGj0no8MuwIt,2021-05-22T09:02:52.133Z,
16.9,,,manual,manual,1621633894198,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,gpqUUZA6nSxw1sGaXqOvx9Q5rEIvrn,2021-05-21T21:51:34.198Z,
16.9,,,manual,manual,1621612622012,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,nrpHhQMtJmgqzgO3RhJZZIybnf2bSg,2021-05-21T15:57:02.012Z,
16.6,,,manual,manual,1621593687031,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,24PyajfHDMFabQ2bm6r3wLbfRNWYx8,2021-05-21T10:41:27.031Z,
17,,,manual,manual,1621575785902,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,LTg70p6AprHtgROsPlGD1JdCWr8Bcs,2021-05-21T05:43:05.902Z,
17.1,,,manual,manual,1621528040028,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,e01TgIJt9s7uLo5at94PrmYgLnycn2,2021-05-20T16:27:20.028Z,
