temp,time,type,comment,id,sg,__acc_reading_doc_id,__acc_reading_data_id,timepoint,ph,pressure
19.7,1617017015836,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,hfjLRtL9PxfX0VQf7fY2uDcpCm9Z77,2021-03-29T11:23:35.836Z,,
19.4,1617001512096,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,CR0ZhifF65WySLi0z6cg2ZA6laqNZ3,2021-03-29T07:05:12.096Z,,
20,1616965320000,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,4juBfvsQYxCs4QeBFKuEYXib8YtBJH,2021-03-28T21:02:00.000Z,,
19,1616947295381,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,VQz1CIY0ZM3xe5byAbyujGG6IkEESu,2021-03-28T16:01:35.381Z,,
19.3,1616929191638,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,QScxZn9RqnuRMawLuenBu7EkDK8UPw,2021-03-28T10:59:51.638Z,,
19.6,1616919050164,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,eYtqBEMgcjdBn9ZtJc9dT1jNvsgPD2,2021-03-28T08:10:50.164Z,,
19.7,1616884426404,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,W4pb432p8I8AVHBlCKGqs0Ktdel2Vk,2021-03-27T22:33:46.404Z,,
20,1616857254952,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,B9rBneUXaFi5gBfvJdNBmnbMGLtAJc,2021-03-27T15:00:54.952Z,,
19.7,1616846544889,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,hUieTi5GbNgsowCoPMkefyrjSVezTm,2021-03-27T12:02:24.889Z,,
19,1616833236488,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,T25fX5RIiAFqCDopLENtaicYjSMY6F,2021-03-27T08:20:36.488Z,,
19.6,1616794571695,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,4paXnCKzK63l2AujRao5C9tox4XUJq,2021-03-26T21:36:11.695Z,,
19,1616771335257,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,DZTKef6P0LyCG3SgN2OtANnyN2kPWT,2021-03-26T15:08:55.257Z,,
19.7,1616759770421,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,SuwjrKVg4BYAdJoZK4iIBQaIOE4pOE,2021-03-26T11:56:10.421Z,,
20,1616743380000,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,aati565dvkJNra9bE5sfAJrwtxjQAF,2021-03-26T07:23:00.000Z,,
19.9,1616706471499,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,gzfLHYZvDtJnVg6AvRM1hPbUVla2Yr,2021-03-25T21:07:51.499Z,,
20,1616692686502,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,X31HJ0Caqim89clJLK5ashWE4Qj5Ur,2021-03-25T17:18:06.502Z,,
19,1616666877960,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,Gyfg1IcrGfeOnVzA0SbNCFNUJAZ2hy,2021-03-25T10:07:57.960Z,,
